asin,title,description,price,brand,categories,image_url
0439591538,,WOW! 3d NANCY DREW MYSTERY GAME 20+ hours of game play,8.99,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51%2BseFjWF3L._SX300_.jpg
0439715571,,"Thousands of years ago in a battle with the fallen Elder God known as Shinnok, I was responsible for the death of an entire civilization. To rid all realms of Shinnok's menace I waged a war that plunged the Earth into centuries of darkness and banished Shinnok into a place called the Netherealm. Now after Shao Kahn's defeat at the hands of Earth's warriors, Shinnok has managed to escape his confines in the Netherealm. The war is now being fought once again. ""Only this time It can be won by mortals."" - The Words of Raiden Battle with one of 15 characters. With newly forged weapons that will slash and bludgeon beyond imagination. The most advanced combat sim you have ever seen. Are you ready to take on the challenge...1",0.0,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51NRYTZTXNL._SY300_.jpg
0439900581,,brain building computer game,19.99,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/41P9D81R8kL.jpg
0545112141,,Help keep multiple pets healthy in this Pet Veterinarian simulation.,0.0,,"[['Video Games', 'Mac', 'Games'], ['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/419w2WGdtDL._SL500_.jpg
0671317091,,"At the heart of our Galaxy, an advanced civilization of which we know nothing has built the biggest, most beautiful starship ever, the Starship Titanic. Majestic and luxurious, its interior resembles a mixture of the Ritz, the Chrysler building, Tutankhamen's tomb and Venice. Starship Titanic is a technological marvel. And it cannot possibly go wrong. In theory. Seconds into its maiden voyage it crashes into hyperspace, vanishes... ... and collides with your house. Bewildered, you find your way aboard, and just as you are gazing at its awe-inspiring interior, the ship takes off again and heads deep into space. You are stranded. But you are not along. The ship is inhabited by a crew of malfunctioning robots and a semi-deranged parrot. You discover that you can communicate with them, a feat that is made possible by SpookiTalk, the games proprietary interactive language engine. You can chat with any of the robot characters, like Fentible the distinguished Doorbot, Nobby the hypochondriac Liftbot, or Fortillian Bantoburn O' Perfluous the outrageously convivial Barbot. Talk to them. Interrogate them. Give them orders. They will listen to you, answer you and, if they happen to feel like it, obey you. Sometimes.",12.5,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51iFNnzZImL._SY300_.jpg
0700026657,,"Anno 2070, the newest version of the award-winning real-time technique and simulator series, requires gamers into a world motivated by today's current difficulties and tomorrow's technological innovation, and requires the Anno series into a new era. In a near-future atmosphere global warming has pressured humankind to evolve to growing sea levels that have left extends of once-fertile land completely unfriendly.

2070. Our world has changed. The sea's rising level has harmed the coastal cities and climate change has made large stretches of land inhospitable.

A futuristic entry in the award-winning strategy series, Anno 2070 offers a new world full of challenges, where you will need to master resources, diplomacy and trade in the most comprehensive economic management system seen yet in the Anno series.

Build your society of the future, colonize islands and create sprawling megacities with multitudes of buildings, vehicles and resources to manage. Engineer new production chains such as Robot Factories, Oil Refineries and Diamond Mines and trade with a variety of goods and commodities.",39.99,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51R06L8cjnL._SY300_.jpg
0700099867,,"Dirt 3 is a popular rally racing game for PlayStation 3 that combines the feel of fast-paced arcade style racing action across multiple surfaces and environments with realistic features found on real off-road circuits. The third release in the acclaimed off-road racing franchise, Dirt 3 features a range of racing and driving disciplines at spectacular locations, more than 100 routes, the finest selection of licensed action-sports racing cars, multistage rallies set at classic locations, exhilarating snow racing action and mesmerizing Gymkhana race events.",246.63,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/41xSe3SpJPL.jpg
0758534531,,"This software is BRAND NEW. Packaging may differ slightly from the stock photo above. Please click on our logo above to see over 15,000 titles in stock.",15.5,,"[['Video Games', 'Mac', 'Games'], ['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/418VCRJHJYL.jpg
1558843477,,CYBERPUNK VAMPIRE ROLE-PLAYING PC GAME SET IN THE NEAR FUTURE (MANHATTAN 2094).,0.0,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/41HClAKtPvL._SY300_.jpg
1594590133,Kingdoms of Kalamar Dungeon Master's Shield,"The ultimate DM shield and the essential accessory for any D&D; or d20 Dungeon Master. Dozens of tables, charts and all new and beautiful artwork cover this amazing 24-panel screen! Everything a DM has ever imagined and longed for. Every essential d20 table is included, along with a host of other useful information, all at your fingertips. Spend more time playing, and less time searching for rules.",0.0,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/61WZY52E7PL._SY300_.jpg
1886846774,,"First Lessons in Chess - a perfect way for reading-aged children grade 3 and up (or their parents!) to get started in chess. First Lessons is for players new to chess, whether young or old. Covering all the basic rules and moves, including chess notation, opening strategy, tactics and common endgame scenarios, this introduction to the Think Like A King learning series contains dozens of animations, challenges and 165 interactive chess puzzles that make learning a snap. Tactical Thinking-Master basic tactical concepts with an interactive tutorial designed to help players recognize strategic and tactical opportunities. From Pins to Forks and Skewers, Undermining to Overworking, basic tactical thinking is clearly defined and demonstrated via interactive puzzles. Simple text explanations and minimal reliance on chess notation make this a perfect teaching tool for beginning students. Checkmate Thinking -apply the tactical lessons learned above and add the next level of thinking (pattern recognition and combination attacks) to pursue the ultimate goal of Checkmate. Over 300 interactive checkmate problems that transform beginners into real chess thinkers!
Endgame Thinking - Everything may come down to the Endgame, and here's where beginners have the most trouble. A course on the science of the end of the game, endings where clear thinking and careful play are critical. Learn the tactics of Pawn Promotion and the rules that let you create a winning position - or prevent your opponent from gaining one! Opening Thinking - a truly unique learning tool that explores the why and not just the how of opening play. Covering the common openings and variants, with Traps, Zaps and more.",59.95,,"[['Video Games', 'Mac', 'Games'], ['Video Games', 'More Systems', 'PDAs'], ['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51ly0a62kJL._SX300_.jpg
1888449543,,"This is one of a handful of classic PC games that really delivered. A powerful first-person shooter style game that includes some incredible battles with the ferocious beasts we have come to know as Dinosaurs. First released back in 1997 this program garnered many awards through leading gamers magazines. This spawned an equally successful, but less critically acclaimed program titled --Turok 2 : Seeds of Evil. Still unsurpassed , this program offers 14 incredible weapons that you can use to hunt down your hunter. A fully interactive environment Where trees crash to the ground. Waterfalls boil with foam. Bullets Ricochet. Bubbles form water rings. Cobwebs move. And SO MUCH MORE! A truly great program that will keep you on the edge of your computer chair.",6.99,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51JEIAcJsVL._SY300_.jpg
3828770193,,"Everyone knows it, everyone loves it! Foto Frenzy! Using your nintendo DS stylus pen, find the difference between the two pictures. Hundreds of puzzles, a variety of modes and hours of fun make this a ""must have"" game for your DS collection. Compete Against friends in a fast paced battle to see who is the ""spot the difference"" champ.",3.99,,"[['Video Games', 'Kids & Family', 'Nintendo DS', 'Games'], ['Video Games', 'Nintendo DS', 'Games']]",http://ecx.images-amazon.com/images/I/51g8-AYPQwL._SX300_.jpg
3866811659,,"DEEP FRITZ is now even faster. The completely redesigned ergonomic interface gives you instant access to all the most important functions. This means more comfort and clearer controls. Never before has it been so easy and fast to play with DEEP FRITZ.

DEEP FRITZ prepares you for serious encounters over the chessboard. Have you ever trained with a human grandmaster? DEEP FRITZ provides you with twelve hours of video lessons for every level of play. Enjoy the instructive analysis of master games, the discussion of clever openings traps, deadly combinations to solve. The video material introduces you to world class grandmasters like Alexei Shirov, Rustam Kasimdzhanov, Vladimir Kramnik, Vishy Anand, even chess legend Garry Kasparov. And if you cannot play chess DEEP FRITZ will teach you the rules of the games  within an hour you will be playing your first game of chess.System requirements: Minimum: Pentium III 1 GHz, 512 MB RAM, Windows Vista, XP (Service Pack 3), DirectX9 graphics card with 256 MB RAM, DVD-ROM drive, Windows-Media Player 9, internet access (playchess.com, updates and activation). Recommended: PC Intel Core 2 Quad, 2.4 GHz, 3 GB RAM, Windows Vista or Windows 7, DirectX10 graphics card (or compatible) with 512 MB RAM or more, 100% DirectX10 compatible sound card, Windows Media Player 11, DVD ROM drive and internet access (playchess.com, updates and activation).",32.27,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/41wRSaY4KJL._SY300_.jpg
3866810067,,,14.99,,"[['Video Games', 'PC', 'Games']]",http://ecx.images-amazon.com/images/I/51ZQwk3coAL._SY300_.jpg
6050036071,,"These are the official Disney Microphones for Rock Band & Guitar Hero. These universal USB microphone will work with any system with USB ports (Xbox 360, Nintendo Wii, PlayStation 3, etc)! It is compatible with any game requiring a USB microphone (like Rock Band 1 & 2, Singstar, Karaoke Revolution, Boogie, etc)! You can even use it with PC games!",39.99,,"[['Video Games', 'PlayStation 3', 'Accessories', 'Controllers', 'Microphones'], ['Video Games', 'Wii', 'Accessories', 'Controllers', 'Microphones']]",http://ecx.images-amazon.com/images/I/31Sr03gbdOL._SY300_.jpg
7100027950,,"Nintendo's thematic action-adventure sequel to Ocarina of Time takes the series back to its more cartoonish roots. Utilizing a completely new look with cel-shaded graphics, the game casts players in the role of a familiar young boy, who sets out to save his kidnapped sister. Gameplay is vintage Zelda, only that the game's overworld is covered by water. Players have to control the direction of the wind to sail across the ocean and find dungeons, towns, and plenty of secrets. A special Game Boy Advance link-up option lets another player join the quest and give hints and assistance via the handheld.

Legend has it that whenever evil has appeared, a hero named Link has risen to defeat it...",105.63,,"[['Video Games', 'Kids & Family'], ['Video Games', 'More Systems', 'GameCube', 'Games']]",http://ecx.images-amazon.com/images/I/41Sf7in3mUL._SY300_.jpg
7293000928,,"Brand new remote that is compatible with Microsoft Xbox 360 game consoles. Allows ease of control for DVD playback or watching of movies on your Xbox 360 and has 26 keys including your standard power on and Y, X, A, B key.",10.99,,"[['Video Games', 'Xbox 360', 'Accessories', 'Controllers', 'Remotes']]",http://ecx.images-amazon.com/images/I/41Ll0JSVV2L._SY300_.jpg
7293000936,,Having stunning Nintendo Wii High Definition Graphics via component video connection for your HDTV is an absolute requirement. Play all games and watch movies in the sharpest quality available by using component video ports on your HDTV. Play high quality audio with the included Stereo connection. The shielded cable also includes the more traditional Composite connections for use with standard definition TVs. Having a Next Gen Cable for a Next Gen Video Game System is an absolute must for any gaming enthusiast and tech guru.,6.05,,"[['Video Games', 'Wii', 'Accessories', 'Cables & Adapters', 'Cables']]",http://ecx.images-amazon.com/images/I/41FskDVPabL._SY300_.jpg
7293000960,,,3.99,,"[['Video Games', 'Sony PSP', 'Accessories', 'Batteries & Chargers', 'Batteries']]",http://ecx.images-amazon.com/images/I/4111q8inRlL._SY300_.jpg
7543450933,,Over 1000 customizations and rewards.,12.0,,"[['Video Games', 'More Systems', 'Xbox', 'Games']]",http://ecx.images-amazon.com/images/I/51Yb-ZZ932L._SY300_.jpg
7540727705,,"Product Description
Steambot Chronicles is unique open-ended gameplay and a more polished role-playing experience. Vanilla Beans wakes up to find himself lying on a sun-drenched beach. How did he get there -- and who in the world is the girl standing above him? The girl introduces herself as Connie, and Vanilla begins the first busy day of a grand adventure. He'll take Connie home, meet the other members of her band (the Garland Globetrotters), and explore the town of Nefroburg. When a gang of bandits begins overrunning the town, you have a chance to be a hero -- or not. What happens after today is completely up to you. Fight a multitude of enemies and gigantic boss mechs against overwhelming odds",0.0,,"[['Video Games', 'More Systems', 'PlayStation 2']]",http://ecx.images-amazon.com/images/I/511QAelcazL._SY300_.jpg
7561321074,,"Amazon.com Product Description
Silent Hill 3 continues the series' trademark brand of psychological horror and terrifying gameplay. As a teenage girl named Heather, players must explore and unravel the mysterious connection between the god-forsaken town and her inner fears. The game features enhanced graphical detail, a more complex storyline, and even more grotesque monsters than the previous games.",24.99,,"[['Video Games', 'More Systems', 'PlayStation 2']]",http://ecx.images-amazon.com/images/I/41HcUNxxmrL._SX300_.jpg
